"","nuts_id","type_of_class","month_date","year_date","MIS","statistical_unit"
"283","DE115","class_x_3_3",9,2018,1,"nuts3"
"284","DE115","class_x_3_3",9,2020,1,"nuts3"
"285","DE115","class_x_3_3",10,2012,1,"nuts3"
"286","DE115","class_x_3_3",10,2018,1,"nuts3"
"287","DE115","class_x_3_3",10,2019,1,"nuts3"
"288","DE115","class_x_3_3",10,2020,1,"nuts3"
"289","DE115","class_x_3_3",11,2018,1,"nuts3"
"290","DE115","class_x_3_3",11,2019,2,"nuts3"
"291","DE115","class_x_3_3",11,2020,2,"nuts3"
"292","DE115","class_x_3_3",12,2018,1,"nuts3"
"293","DE115","class_x_3_3",12,2019,2,"nuts3"
"294","DE115","class_x_3_4",6,2017,1,"nuts3"
"295","DE115","class_x_3_4",7,2019,1,"nuts3"
"296","DE115","class_x_3_4",8,2003,1,"nuts3"
"297","DE115","class_x_3_4",11,2018,1,"nuts3"
"298","DE115","class_x_3_4",12,2019,1,"nuts3"
"299","DE115","class_x_3_5",2,2019,1,"nuts3"
"300","DE115","class_x_3_5",3,2006,1,"nuts3"
"301","DE115","class_x_3_5",3,2018,1,"nuts3"
"302","DE115","class_x_3_5",4,2017,1,"nuts3"
"303","DE115","class_x_3_5",6,2017,1,"nuts3"
"304","DE115","class_x_3_5",6,2019,1,"nuts3"
"305","DE115","class_x_3_5",7,2019,1,"nuts3"
"306","DE115","class_x_3_5",8,2003,1,"nuts3"
"307","DE115","class_x_3_5",8,2019,1,"nuts3"
"308","DE115","class_x_3_5",8,2020,2,"nuts3"
"309","DE115","class_x_3_5",9,2003,1,"nuts3"
"310","DE115","class_x_3_5",9,2018,1,"nuts3"
"311","DE115","class_x_3_5",9,2019,1,"nuts3"
"312","DE115","class_x_3_5",9,2020,1,"nuts3"
"313","DE115","class_x_3_5",10,2012,1,"nuts3"
"314","DE115","class_x_3_5",10,2019,2,"nuts3"
"315","DE115","class_x_3_5",10,2020,1,"nuts3"
"316","DE115","class_x_3_5",11,2018,1,"nuts3"
"317","DE115","class_x_3_5",11,2019,3,"nuts3"
"318","DE115","class_x_3_5",11,2020,2,"nuts3"
"319","DE115","class_x_3_5",12,2015,1,"nuts3"
"320","DE115","class_x_3_5",12,2018,1,"nuts3"
"321","DE115","class_x_3_5",12,2019,2,"nuts3"
"322","DE115","class_x_4_1",3,2019,1,"nuts3"
"323","DE115","class_x_4_1",10,2012,1,"nuts3"
"324","DE115","class_x_4_1",11,2015,1,"nuts3"
"325","DE115","class_x_4_2",11,2015,1,"nuts3"
"326","DE115","class_x_4_3",3,2018,1,"nuts3"
"327","DE115","class_x_4_3",6,2017,1,"nuts3"
"328","DE115","class_x_4_3",7,2019,1,"nuts3"
"329","DE115","class_x_4_3",10,2019,1,"nuts3"
"330","DE115","class_x_4_3",11,2020,1,"nuts3"
"331","DE115","class_x_4_4",5,2011,1,"nuts3"
"332","DE115","class_x_4_5",3,2018,1,"nuts3"
"333","DE115","class_x_4_5",11,2020,1,"nuts3"
"334","DE115","class_x_5_1",5,2011,1,"nuts3"
"335","DE115","class_x_5_1",8,2003,1,"nuts3"
"336","DE115","class_x_5_1",8,2019,1,"nuts3"
"337","DE115","class_x_5_2",4,2020,1,"nuts3"
"338","DE115","class_x_5_2",7,2019,1,"nuts3"
"339","DE115","class_x_5_2",8,2003,1,"nuts3"
"340","DE115","class_x_5_2",8,2005,1,"nuts3"
"341","DE115","class_x_5_2",8,2019,1,"nuts3"
"342","DE115","class_x_5_2",8,2020,1,"nuts3"
"343","DE115","class_x_5_3",9,2003,1,"nuts3"
"344","DE115","class_x_5_3",10,2019,1,"nuts3"
"345","DE115","class_x_5_3",12,2018,2,"nuts3"
"346","DE115","class_x_5_3",12,2019,1,"nuts3"
"347","DE116","class_x_1_1",4,2007,1,"nuts3"
"348","DE116","class_x_1_1",8,2018,1,"nuts3"
"349","DE116","class_x_1_1",9,2015,1,"nuts3"
"350","DE116","class_x_1_4",4,2007,1,"nuts3"
"351","DE116","class_x_1_4",8,2018,2,"nuts3"
"352","DE116","class_x_2_3",8,2018,2,"nuts3"
"353","DE116","class_x_3_2",11,2020,1,"nuts3"
"354","DE116","class_x_3_3",11,2020,1,"nuts3"
"355","DE117","class_x_1_1",5,2011,2,"nuts3"
"356","DE117","class_x_1_1",6,2011,1,"nuts3"
"357","DE117","class_x_1_1",6,2014,1,"nuts3"
"358","DE117","class_x_1_1",7,2008,1,"nuts3"
"359","DE117","class_x_1_1",7,2010,1,"nuts3"
"360","DE117","class_x_1_1",7,2013,1,"nuts3"
"361","DE117","class_x_1_1",7,2018,1,"nuts3"
"362","DE117","class_x_1_1",8,2015,1,"nuts3"
"363","DE117","class_x_1_1",8,2018,2,"nuts3"
"364","DE117","class_x_1_1",12,2014,1,"nuts3"
"365","DE117","class_x_1_3",5,2011,1,"nuts3"
"366","DE117","class_x_1_4",4,2012,1,"nuts3"
"367","DE117","class_x_1_4",4,2017,1,"nuts3"
"368","DE117","class_x_1_4",5,2011,1,"nuts3"
"369","DE117","class_x_1_4",5,2020,1,"nuts3"
"370","DE117","class_x_1_4",6,2014,1,"nuts3"
"371","DE117","class_x_1_4",6,2019,1,"nuts3"
"372","DE117","class_x_1_4",7,2018,1,"nuts3"
"373","DE117","class_x_1_4",7,2019,1,"nuts3"
"374","DE117","class_x_1_4",8,2011,1,"nuts3"
"375","DE117","class_x_1_4",8,2018,2,"nuts3"
"376","DE117","class_x_1_4",10,2008,1,"nuts3"
"377","DE117","class_x_1_4",10,2018,1,"nuts3"
"378","DE117","class_x_1_4",10,2020,1,"nuts3"
"379","DE117","class_x_2_3",1,2019,1,"nuts3"
"380","DE117","class_x_2_3",5,2011,1,"nuts3"
"381","DE117","class_x_2_3",6,2019,1,"nuts3"
"382","DE117","class_x_2_3",7,2013,1,"nuts3"
"383","DE117","class_x_2_3",7,2018,1,"nuts3"
"384","DE117","class_x_2_3",8,2012,1,"nuts3"
"385","DE117","class_x_2_3",8,2015,2,"nuts3"
"386","DE117","class_x_2_3",8,2018,1,"nuts3"
"387","DE117","class_x_2_3",10,2018,1,"nuts3"
"388","DE117","class_x_3_2",1,2009,1,"nuts3"
"389","DE117","class_x_3_2",1,2019,1,"nuts3"
"390","DE117","class_x_3_2",5,2019,1,"nuts3"
"391","DE117","class_x_3_2",6,2014,1,"nuts3"
"392","DE117","class_x_3_2",8,2018,2,"nuts3"
"393","DE117","class_x_3_2",8,2019,2,"nuts3"
"394","DE117","class_x_3_2",11,2019,1,"nuts3"
"395","DE117","class_x_3_2",12,2014,2,"nuts3"
"396","DE117","class_x_3_2",12,2018,2,"nuts3"
"397","DE117","class_x_3_3",5,2019,1,"nuts3"
"398","DE117","class_x_3_3",7,2019,1,"nuts3"
"399","DE117","class_x_3_3",8,2018,2,"nuts3"
"400","DE117","class_x_3_3",8,2019,2,"nuts3"
"401","DE117","class_x_3_3",11,2019,1,"nuts3"
"402","DE117","class_x_3_4",8,2015,1,"nuts3"
"403","DE117","class_x_3_4",8,2018,1,"nuts3"
"404","DE117","class_x_3_4",8,2019,1,"nuts3"
"405","DE117","class_x_3_5",4,2012,1,"nuts3"
"406","DE117","class_x_3_5",9,2014,1,"nuts3"
"407","DE117","class_x_3_5",11,2018,1,"nuts3"
"408","DE117","class_x_3_5",11,2019,1,"nuts3"
"409","DE117","class_x_3_5",12,2018,1,"nuts3"
"410","DE117","class_x_4_1",5,2011,1,"nuts3"
"411","DE117","class_x_4_1",7,2013,1,"nuts3"
"412","DE117","class_x_4_1",8,2015,1,"nuts3"
"413","DE117","class_x_4_1",8,2018,1,"nuts3"
"414","DE117","class_x_4_1",11,2011,1,"nuts3"
"415","DE117","class_x_4_1",12,2014,1,"nuts3"
"416","DE117","class_x_4_2",11,2011,1,"nuts3"
"417","DE117","class_x_4_3",4,2012,1,"nuts3"
"418","DE117","class_x_4_3",8,2018,1,"nuts3"
"419","DE117","class_x_4_3",10,2018,1,"nuts3"
"420","DE117","class_x_4_4",4,2012,1,"nuts3"
"421","DE117","class_x_4_4",4,2019,1,"nuts3"
"422","DE117","class_x_4_4",5,2011,1,"nuts3"
"423","DE117","class_x_4_4",8,2015,1,"nuts3"
"424","DE117","class_x_4_4",8,2018,2,"nuts3"
"425","DE117","class_x_4_4",8,2019,1,"nuts3"
"426","DE117","class_x_4_4",11,2011,1,"nuts3"
"427","DE117","class_x_4_5",4,2012,1,"nuts3"
"428","DE117","class_x_4_5",5,2011,1,"nuts3"
"429","DE117","class_x_4_5",10,2018,1,"nuts3"
"430","DE117","class_x_5_1",4,2012,1,"nuts3"
"431","DE117","class_x_5_1",4,2019,1,"nuts3"
"432","DE117","class_x_5_1",5,2011,1,"nuts3"
"433","DE117","class_x_5_1",7,2010,2,"nuts3"
"434","DE117","class_x_5_1",7,2013,1,"nuts3"
"435","DE117","class_x_5_1",8,2015,1,"nuts3"
"436","DE117","class_x_5_1",8,2018,3,"nuts3"
"437","DE117","class_x_5_1",8,2019,1,"nuts3"
"438","DE117","class_x_5_1",11,2019,1,"nuts3"
"439","DE117","class_x_5_2",4,2019,1,"nuts3"
"440","DE117","class_x_5_2",5,2011,1,"nuts3"
"441","DE117","class_x_5_2",5,2018,1,"nuts3"
"442","DE117","class_x_5_2",7,2010,2,"nuts3"
"443","DE117","class_x_5_2",7,2013,1,"nuts3"
"444","DE117","class_x_5_2",7,2018,1,"nuts3"
"445","DE117","class_x_5_2",8,2015,2,"nuts3"
"446","DE117","class_x_5_2",8,2018,2,"nuts3"
"447","DE117","class_x_5_3",4,2012,1,"nuts3"
"448","DE117","class_x_5_3",12,2014,1,"nuts3"
"449","DE117","class_x_5_5",4,2017,1,"nuts3"
"450","DE117","class_x_5_5",5,2020,1,"nuts3"
"451","DE117","class_x_5_5",6,2014,1,"nuts3"
"452","DE117","class_x_5_5",8,2018,1,"nuts3"
"453","DE117","class_x_5_5",9,2014,1,"nuts3"
"454","DE118","class_x_1_1",5,2009,1,"nuts3"
"455","DE118","class_x_1_1",5,2011,1,"nuts3"
"456","DE118","class_x_1_1",6,2011,1,"nuts3"
"457","DE118","class_x_1_1",6,2014,1,"nuts3"
"458","DE118","class_x_1_1",7,2008,1,"nuts3"
"459","DE118","class_x_1_1",7,2010,1,"nuts3"
"460","DE118","class_x_1_1",7,2018,1,"nuts3"
"461","DE118","class_x_1_1",8,2018,2,"nuts3"
"462","DE118","class_x_1_1",10,2018,1,"nuts3"
"463","DE118","class_x_1_1",12,2014,1,"nuts3"
"464","DE118","class_x_1_4",1,2016,1,"nuts3"
"465","DE118","class_x_1_4",4,2010,1,"nuts3"
"466","DE118","class_x_1_4",5,2004,1,"nuts3"
"467","DE118","class_x_1_4",5,2020,1,"nuts3"
"468","DE118","class_x_1_4",6,2011,1,"nuts3"
"469","DE118","class_x_1_4",6,2014,1,"nuts3"
"470","DE118","class_x_1_4",7,2018,1,"nuts3"
"471","DE118","class_x_1_4",8,2018,1,"nuts3"
"472","DE118","class_x_1_4",10,2018,1,"nuts3"
"473","DE118","class_x_1_4",10,2020,1,"nuts3"
"474","DE118","class_x_1_4",11,2018,1,"nuts3"
"475","DE118","class_x_1_4",11,2020,2,"nuts3"
"476","DE118","class_x_2_1",8,2003,1,"nuts3"
"477","DE118","class_x_2_1",10,2020,1,"nuts3"
"478","DE118","class_x_2_1",12,2015,1,"nuts3"
"479","DE118","class_x_2_3",5,2011,1,"nuts3"
