"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"65","Non-irrigated arable land","DEB1",1840117560.72165,2,"DE","Koblenz","Koblenz",0,NA,0,"DEB1"
"66","Non-irrigated arable land","DEB2",951093013.961256,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"67","Non-irrigated arable land","DEB3",2023816328.11889,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"68","Non-irrigated arable land","DEC0",429959902.478407,2,"DE","Saarland","Saarland",0,NA,0,"DEC0"
"69","Non-irrigated arable land","DED2",4006541955.91113,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"70","Non-irrigated arable land","DED4",3943330461.5353,2,"DE","Chemnitz","Chemnitz",0,NA,0,"DED4"
"71","Non-irrigated arable land","DED5",5203986554.2889,2,"DE","Leipzig","Leipzig",0,NA,0,"DED5"
"72","Non-irrigated arable land","DEE0",17570334466.8671,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"73","Non-irrigated arable land","DEF0",8214587537.58761,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"74","Non-irrigated arable land","DEG0",8889787452.93605,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
"75","Pastures, meadows and other permanent grasslands under agricultural use","DE11",1629551233.7416,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"76","Pastures, meadows and other permanent grasslands under agricultural use","DE12",762528214.152996,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"77","Pastures, meadows and other permanent grasslands under agricultural use","DE13",2039492400.28143,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"78","Pastures, meadows and other permanent grasslands under agricultural use","DE14",2674796752.65461,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"79","Pastures, meadows and other permanent grasslands under agricultural use","DE21",5128411571.69628,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"80","Pastures, meadows and other permanent grasslands under agricultural use","DE22",1982452221.54425,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"81","Pastures, meadows and other permanent grasslands under agricultural use","DE23",1816673155.2163,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"82","Pastures, meadows and other permanent grasslands under agricultural use","DE24",1511324259.34377,2,"DE","Oberfranken","Oberfranken",0,NA,0,"DE24"
"83","Pastures, meadows and other permanent grasslands under agricultural use","DE25",1388318819.9542,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"84","Pastures, meadows and other permanent grasslands under agricultural use","DE26",1594459217.9649,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"85","Pastures, meadows and other permanent grasslands under agricultural use","DE27",3836353322.03915,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"86","Pastures, meadows and other permanent grasslands under agricultural use","DE30",43180053.1863498,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"87","Pastures, meadows and other permanent grasslands under agricultural use","DE40",4561540488.48696,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"88","Pastures, meadows and other permanent grasslands under agricultural use","DE50",861193633.867749,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"89","Pastures, meadows and other permanent grasslands under agricultural use","DE60",275070789.41355,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"90","Pastures, meadows and other permanent grasslands under agricultural use","DE71",1645601664.4329,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
